time  lat   lon  depth strike  dip  rake   xinc  yinc  slip_p slip_n Vr  Tr  sig_spal sig_snl sig_Vr sig_Tr
38.38 27.85 86.00 12.09 293.00 6.00 107.00 10.00 10.00 0.12 0.71   2.76 11.79 0.39 0.32 0.18 1.15
39.37 27.93 86.04 13.14 293.00 6.00 107.00 10.00 10.00 0.40 0.53   2.97 9.66 0.32 0.35 0.25 1.12
40.31 28.01 86.09 14.18 293.00 6.00 107.00 10.00 10.00 0.45 -0.17  3.00 10.47 0.37 0.34 0.30 1.10
41.71 28.09 86.13 15.23 293.00 6.00 107.00 10.00 10.00 0.69 0.36   3.44 11.80 0.36 0.29 0.26 1.07
37.54 27.47 85.71 6.86  293.00 6.00 107.00 10.00 10.00 0.26 -0.25  3.49 9.45 0.17 0.16 0.26 1.11
37.50 27.56 85.75 7.91  293.00 6.00 107.00 10.00 10.00 0.23 0.09   3.01 10.84 0.20 0.20 0.24 1.09
36.57 27.64 85.79 8.95  293.00 6.00 107.00 10.00 10.00 2.58 -0.10  3.10 9.18 0.20 0.21 0.28 0.66
34.76 27.72 85.83 10.00 293.00 6.00 107.00 10.00 10.00 3.68 0.57   3.42 7.82 0.25 0.25 0.27 0.64
34.33 27.80 85.87 11.05 293.00 6.00 107.00 10.00 10.00 0.56 -0.54  3.39 11.16 0.32 0.28 0.26 1.34
35.27 27.88 85.91 12.09 293.00 6.00 107.00 10.00 10.00 -0.34 1.22  3.09 9.30 0.27 0.29 0.28 1.01
36.11 27.97 85.95 13.14 293.00 6.00 107.00 10.00 10.00 0.40 0.34   2.98 13.18 0.33 0.33 0.25 1.20
37.52 28.05 85.99 14.18 293.00 6.00 107.00 10.00 10.00 -0.77 -0.44 3.39 8.75 0.23 0.30 0.25 1.03
39.66 28.13 86.03 15.23 293.00 6.00 107.00 10.00 10.00 0.70 0.20   3.61 7.60 0.39 0.30 0.23 1.15
34.76 27.51 85.62 6.86  293.00 6.00 107.00 10.00 10.00 0.08 -0.07  3.50 10.89 0.16 0.18 0.23 1.20
34.23 27.59 85.66 7.91  293.00 6.00 107.00 10.00 10.00 0.57 0.36   3.00 12.36 0.20 0.21 0.28 1.13
33.81 27.67 85.70 8.95  293.00 6.00 107.00 10.00 10.00 2.58 0.09   3.20 9.59 0.20 0.22 0.29 0.79
32.08 27.76 85.74 10.00 293.00 6.00 107.00 10.00 10.00 4.10 0.22   3.02 9.53 0.25 0.23 0.26 0.72
31.27 27.84 85.78 11.05 293.00 6.00 107.00 10.00 10.00 1.80 -0.49  3.13 5.84 0.32 0.27 0.26 0.84
32.13 27.92 85.82 12.09 293.00 6.00 107.00 10.00 10.00 1.86 0.45   2.79 11.88 0.32 0.29 0.20 0.96
33.21 28.00 85.86 13.14 293.00 6.00 107.00 10.00 10.00 1.45 0.84   3.39 10.86 0.38 0.30 0.27 1.10
35.43 28.08 85.90 14.18 293.00 6.00 107.00 10.00 10.00 2.13 0.34   3.03 11.47 0.45 0.30 0.30 0.99
37.53 28.17 85.94 15.23 293.00 6.00 107.00 10.00 10.00 0.01 0.14   2.99 6.95 0.41 0.29 0.28 1.22
31.80 27.55 85.52 6.86  293.00 6.00 107.00 10.00 10.00 0.17 0.00   3.14 10.91 0.16 0.17 0.29 1.09
31.26 27.63 85.56 7.91  293.00 6.00 107.00 10.00 10.00 0.60 0.64   3.65 12.85 0.19 0.21 0.20 1.13
30.79 27.71 85.60 8.95  293.00 6.00 107.00 10.00 10.00 2.86 -0.09  2.95 10.08 0.21 0.20 0.24 0.67
29.33 27.79 85.64 10.00 293.00 6.00 107.00 10.00 10.00 4.56 0.91   2.82 8.36 0.23 0.22 0.21 0.62
28.31 27.87 85.68 11.05 293.00 6.00 107.00 10.00 10.00 5.26 -1.25  3.68 6.29 0.29 0.29 0.18 0.62
29.10 27.96 85.72 12.09 293.00 6.00 107.00 10.00 10.00 3.58 0.00   3.53 10.07 0.34 0.34 0.24 1.31
30.94 28.04 85.76 13.14 293.00 6.00 107.00 10.00 10.00 2.73 -0.72  3.18 11.23 0.41 0.35 0.30 1.02
33.11 28.12 85.81 14.18 293.00 6.00 107.00 10.00 10.00 -0.45 -0.07 3.38 11.46 0.29 0.30 0.26 1.29
34.63 28.20 85.85 15.23 293.00 6.00 107.00 10.00 10.00 0.91 -0.01  3.31 12.44 0.37 0.28 0.30 1.11
28.60 27.58 85.43 6.86  293.00 6.00 107.00 10.00 10.00 0.19 -0.14  2.99 10.18 0.16 0.13 0.28 1.04
28.24 27.66 85.47 7.91  293.00 6.00 107.00 10.00 10.00 0.49 0.42   2.80 5.89 0.17 0.24 0.22 1.52
27.36 27.75 85.51 8.95  293.00 6.00 107.00 10.00 10.00 3.38 0.57   2.76 7.73 0.21 0.20 0.20 1.21
26.37 27.83 85.55 10.00 293.00 6.00 107.00 10.00 10.00 5.95 0.21   3.02 8.18 0.25 0.22 0.25 0.62
25.52 27.91 85.59 11.05 293.00 6.00 107.00 10.00 10.00 4.39 0.43   3.43 14.66 0.28 0.26 0.21 0.74
26.54 27.99 85.63 12.09 293.00 6.00 107.00 10.00 10.00 2.38 -0.76  3.26 4.68 0.29 0.28 0.27 0.71
28.68 28.07 85.67 13.14 293.00 6.00 107.00 10.00 10.00 4.42 0.52   2.97 10.85 0.39 0.33 0.25 0.69
30.62 28.16 85.71 14.18 293.00 6.00 107.00 10.00 10.00 1.78 -0.02  2.97 7.98 0.43 0.32 0.24 0.83
31.86 28.24 85.75 15.23 293.00 6.00 107.00 10.00 10.00 0.78 -0.02  3.56 9.38 0.39 0.29 0.22 1.37
25.56 27.62 85.34 6.86  293.00 6.00 107.00 10.00 10.00 0.18 -0.24  3.46 10.19 0.10 0.13 0.27 1.64
24.94 27.70 85.38 7.91  293.00 6.00 107.00 10.00 10.00 0.97 0.77   3.27 6.59 0.13 0.15 0.30 0.87
24.14 27.78 85.42 8.95  293.00 6.00 107.00 10.00 10.00 4.43 1.23   3.41 6.40 0.18 0.17 0.25 0.74
23.72 27.86 85.46 10.00 293.00 6.00 107.00 10.00 10.00 6.61 -0.19  3.03 9.38 0.23 0.22 0.23 0.45
22.72 27.95 85.50 11.05 293.00 6.00 107.00 10.00 10.00 3.38 -0.44  3.71 6.40 0.29 0.24 0.18 0.59
24.06 28.03 85.54 12.09 293.00 6.00 107.00 10.00 10.00 2.55 -0.28  3.15 13.38 0.36 0.33 0.29 1.02
26.13 28.11 85.58 13.14 293.00 6.00 107.00 10.00 10.00 0.54 -0.04  3.07 9.62 0.42 0.32 0.28 1.09
27.72 28.19 85.62 14.18 293.00 6.00 107.00 10.00 10.00 0.06 0.36   2.90 12.50 0.40 0.32 0.23 1.16
29.43 28.27 85.66 15.23 293.00 6.00 107.00 10.00 10.00 0.61 0.17   3.51 10.86 0.34 0.32 0.26 1.15
22.85 27.65 85.24 6.86  293.00 6.00 107.00 10.00 10.00 0.32 0.13   3.33 10.61 0.15 0.10 0.28 0.99
21.87 27.74 85.28 7.91  293.00 6.00 107.00 10.00 10.00 1.81 0.45   3.14 5.88 0.10 0.16 0.25 0.57
21.24 27.82 85.32 8.95  293.00 6.00 107.00 10.00 10.00 4.29 0.80   2.99 7.40 0.17 0.15 0.21 0.52
20.66 27.90 85.36 10.00 293.00 6.00 107.00 10.00 10.00 5.86 0.04   2.78 10.24 0.21 0.24 0.18 0.54
20.09 27.98 85.40 11.05 293.00 6.00 107.00 10.00 10.00 5.61 -0.22  3.78 7.15 0.30 0.27 0.14 0.44
21.65 28.06 85.44 12.09 293.00 6.00 107.00 10.00 10.00 2.81 -0.82  2.95 15.00 0.31 0.28 0.27 0.55
23.16 28.15 85.48 13.14 293.00 6.00 107.00 10.00 10.00 1.04 0.02   3.12 10.81 0.39 0.27 0.28 1.10
25.02 28.23 85.52 14.18 293.00 6.00 107.00 10.00 10.00 0.91 0.85   3.06 12.10 0.42 0.33 0.28 1.35
27.46 28.31 85.56 15.23 293.00 6.00 107.00 10.00 10.00 0.67 0.84   3.26 12.15 0.37 0.34 0.27 1.21
20.29 27.69 85.15 6.86  293.00 6.00 107.00 10.00 10.00 0.44 0.31   3.24 11.70 0.16 0.17 0.33 1.06
18.84 27.77 85.19 7.91  293.00 6.00 107.00 10.00 10.00 1.69 -0.78  3.28 6.41 0.18 0.15 0.26 0.73
18.15 27.85 85.23 8.95  293.00 6.00 107.00 10.00 10.00 4.11 0.67   3.09 7.06 0.17 0.18 0.30 0.46
17.45 27.94 85.27 10.00 293.00 6.00 107.00 10.00 10.00 4.45 0.35   3.64 6.49 0.23 0.23 0.22 0.59
17.43 28.02 85.31 11.05 293.00 6.00 107.00 10.00 10.00 5.61 -0.18  3.54 7.57 0.28 0.28 0.20 0.49
18.84 28.10 85.35 12.09 293.00 6.00 107.00 10.00 10.00 1.93 -0.87  2.92 8.65 0.29 0.27 0.24 1.19
20.41 28.18 85.39 13.14 293.00 6.00 107.00 10.00 10.00 0.50 0.04   3.22 12.42 0.36 0.25 0.30 1.27
22.89 28.26 85.43 14.18 293.00 6.00 107.00 10.00 10.00 0.69 -0.13  2.87 9.41 0.36 0.28 0.22 1.27
25.42 28.35 85.47 15.23 293.00 6.00 107.00 10.00 10.00 0.01 -0.11  2.94 11.65 0.34 0.31 0.24 1.44
17.83 27.72 85.06 6.86  293.00 6.00 107.00 10.00 10.00 0.18 0.02   2.81 8.07 0.16 0.20 0.20 1.53
15.90 27.81 85.10 7.91  293.00 6.00 107.00 10.00 10.00 2.40 -0.70  3.14 5.59 0.19 0.17 0.29 0.61
14.98 27.89 85.14 8.95  293.00 6.00 107.00 10.00 10.00 3.77 0.89   2.95 6.76 0.21 0.21 0.26 0.62
14.39 27.97 85.18 10.00 293.00 6.00 107.00 10.00 10.00 5.29 0.67   2.92 7.38 0.24 0.25 0.19 0.62
14.69 28.05 85.22 11.05 293.00 6.00 107.00 10.00 10.00 4.46 -0.10  3.42 12.62 0.27 0.34 0.22 1.19
16.10 28.13 85.26 12.09 293.00 6.00 107.00 10.00 10.00 2.08 -0.33  3.54 7.56 0.31 0.31 0.23 1.23
18.27 28.22 85.30 13.14 293.00 6.00 107.00 10.00 10.00 -0.64 0.96  3.23 7.12 0.28 0.29 0.29 1.14
20.63 28.30 85.34 14.18 293.00 6.00 107.00 10.00 10.00 0.10 -0.39  3.02 8.28 0.28 0.29 0.26 1.12
23.12 28.38 85.38 15.23 293.00 6.00 107.00 10.00 10.00 0.23 0.42   2.80 11.45 0.42 0.38 0.21 1.36
15.29 27.76 84.96 6.86  293.00 6.00 107.00 10.00 10.00 0.09 0.07   2.96 9.38 0.17 0.17 0.24 1.19
13.09 27.84 85.00 7.91  293.00 6.00 107.00 10.00 10.00 2.24 -0.67  3.18 7.24 0.19 0.19 0.26 1.16
11.78 27.92 85.04 8.95  293.00 6.00 107.00 10.00 10.00 4.09 1.15   3.11 5.55 0.21 0.20 0.25 0.60
11.20 28.01 85.08 10.00 293.00 6.00 107.00 10.00 10.00 5.46 0.43   3.43 6.73 0.21 0.22 0.23 0.58
12.00 28.09 85.12 11.05 293.00 6.00 107.00 10.00 10.00 1.56 0.32   3.37 13.61 0.26 0.26 0.25 1.16
13.88 28.17 85.16 12.09 293.00 6.00 107.00 10.00 10.00 0.32 0.34   3.16 8.74 0.31 0.26 0.28 1.36
16.03 28.25 85.20 13.14 293.00 6.00 107.00 10.00 10.00 0.09 1.03   3.05 10.50 0.31 0.26 0.26 1.81
18.23 28.33 85.24 14.18 293.00 6.00 107.00 10.00 10.00 -0.36 -0.24 2.94 7.35 0.32 0.32 0.27 1.52
20.89 28.42 85.28 15.23 293.00 6.00 107.00 10.00 10.00 0.19 0.79   3.23 11.66 0.37 0.36 0.29 2.16
13.04 27.79 84.87 6.86  293.00 6.00 107.00 10.00 10.00 -0.07 -0.01 2.96 8.03 0.17 0.16 0.24 1.14
10.61 27.88 84.91 7.91  293.00 6.00 107.00 10.00 10.00 0.65 -0.32  3.13 12.44 0.21 0.20 0.29 1.86
 8.82 27.96 84.95 8.95  293.00 6.00 107.00 10.00 10.00 2.74 1.03   3.30 5.38 0.21 0.21 0.24 0.71
 8.20 28.04 84.99 10.00 293.00 6.00 107.00 10.00 10.00 3.47 -0.49  3.21 6.47 0.25 0.23 0.21 0.75
 9.33 28.12 85.03 11.05 293.00 6.00 107.00 10.00 10.00 0.56 -0.06  2.99 14.26 0.30 0.26 0.27 0.99
11.49 28.21 85.07 12.09 293.00 6.00 107.00 10.00 10.00 -0.24 0.18  3.07 9.77 0.32 0.28 0.24 1.30
13.66 28.29 85.11 13.14 293.00 6.00 107.00 10.00 10.00 -0.17 -0.21 3.51 12.49 0.33 0.33 0.22 1.43
16.38 28.37 85.15 14.18 293.00 6.00 107.00 10.00 10.00 0.14 0.75   2.75 13.95 0.37 0.35 0.20 1.35
18.80 28.45 85.19 15.23 293.00 6.00 107.00 10.00 10.00 -0.44 0.19  3.40 12.99 0.34 0.35 0.27 1.39
10.71 27.83 84.78 6.86  293.00 6.00 107.00 10.00 10.00 -0.25 -0.14 3.52 8.94 0.15 0.18 0.25 1.40
 8.59 27.91 84.82 7.91  293.00 6.00 107.00 10.00 10.00 -0.18 -0.23 3.25 9.55 0.19 0.19 0.28 1.13
 6.31 27.99 84.86 8.95  293.00 6.00 107.00 10.00 10.00 1.23 0.15   3.65 8.70 0.21 0.20 0.21 1.95
 5.29 28.08 84.90 10.00 293.00 6.00 107.00 10.00 10.00 0.86 -0.41  3.76 8.75 0.26 0.21 0.15 1.34
 6.82 28.16 84.94 11.05 293.00 6.00 107.00 10.00 10.00 0.64 0.36   3.05 8.57 0.27 0.25 0.24 1.48
 9.33 28.24 84.98 12.09 293.00 6.00 107.00 10.00 10.00 -0.35 0.05  3.06 10.79 0.29 0.25 0.30 1.34
11.57 28.32 85.02 13.14 293.00 6.00 107.00 10.00 10.00 0.12 -0.41  2.96 14.36 0.31 0.29 0.27 0.94
14.31 28.41 85.06 14.18 293.00 6.00 107.00 10.00 10.00 -0.04 -0.74 2.97 9.25 0.28 0.31 0.26 0.96
17.21 28.49 85.10 15.23 293.00 6.00 107.00 10.00 10.00 -0.11 0.76  3.22 8.11 0.35 0.29 0.29 1.47
 9.23 27.86 84.68 6.86  293.00 6.00 107.00 10.00 10.00 -0.04 -0.23 3.36 10.66 0.16 0.18 0.27 1.05
 6.64 27.95 84.72 7.91  293.00 6.00 107.00 10.00 10.00 -0.35 0.18  3.57 9.27 0.19 0.20 0.23 1.17
 4.31 28.03 84.76 8.95  293.00 6.00 107.00 10.00 10.00 0.77 -0.84  3.16 10.68 0.22 0.21 0.30 1.80
 2.65 28.11 84.80 10.00 293.00 6.00 107.00 10.00 10.00 1.69 0.69   3.78 8.61 0.30 0.22 0.14 1.86
 4.71 28.19 84.84 11.05 293.00 6.00 107.00 10.00 10.00 1.51 -0.74  2.84 12.95 0.27 0.28 0.27 1.08
 7.06 28.28 84.88 12.09 293.00 6.00 107.00 10.00 10.00 -0.32 -0.27 3.55 11.24 0.27 0.26 0.23 1.44
 9.82 28.36 84.92 13.14 293.00 6.00 107.00 10.00 10.00 0.13 -0.15  3.08 7.86 0.29 0.27 0.26 1.20
13.08 28.44 84.96 14.18 293.00 6.00 107.00 10.00 10.00 0.19 0.34   2.85 11.44 0.35 0.29 0.23 1.19
16.44 28.52 85.00 15.23 293.00 6.00 107.00 10.00 10.00 0.10 -0.35  2.84 10.47 0.37 0.32 0.21 1.10
 8.57 27.90 84.59 6.86  293.00 6.00 107.00 10.00 10.00 0.01 -0.15  3.51 12.12 0.17 0.18 0.26 1.33
 5.74 27.98 84.63 7.91  293.00 6.00 107.00 10.00 10.00 -0.09 0.00  3.53 12.53 0.19 0.18 0.25 1.24
 2.87 28.06 84.67 8.95  293.00 6.00 107.00 10.00 10.00 -0.03 -0.37 3.40 6.15 0.24 0.20 0.29 1.22
 0.30 28.15 84.71 10.00 293.00 6.00 107.00 10.00 10.00 0.05 -0.22  3.31 8.60 0.26 0.26 0.26 1.59
 3.17 28.23 84.75 11.05 293.00 6.00 107.00 10.00 10.00 -0.11 -0.64 3.36 11.86 0.25 0.24 0.29 1.25
 6.26 28.31 84.79 12.09 293.00 6.00 107.00 10.00 10.00 -0.27 0.25  3.12 9.96 0.28 0.27 0.27 1.17
 9.24 28.39 84.83 13.14 293.00 6.00 107.00 10.00 10.00 0.54 0.16   3.56 11.44 0.29 0.27 0.27 1.04
12.41 28.48 84.87 14.18 293.00 6.00 107.00 10.00 10.00 -0.27 -0.19 2.88 10.65 0.32 0.29 0.25 1.29
15.84 28.56 84.91 15.23 293.00 6.00 107.00 10.00 10.00 0.21 -0.38  2.94 8.51 0.41 0.32 0.26 1.30
 9.50 27.93 84.50 6.86  293.00 6.00 107.00 10.00 10.00 0.05 -0.17  3.30 10.52 0.16 0.17 0.32 1.43
 6.91 28.02 84.54 7.91  293.00 6.00 107.00 10.00 10.00 -0.29 -0.07 3.33 8.33 0.20 0.20 0.31 1.38
 4.64 28.10 84.57 8.95  293.00 6.00 107.00 10.00 10.00 -0.34 -0.03 3.19 7.89 0.23 0.23 0.30 1.42
 3.44 28.18 84.61 10.00 293.00 6.00 107.00 10.00 10.00 -0.03 -0.48 2.95 10.90 0.24 0.24 0.26 1.25
 4.99 28.26 84.65 11.05 293.00 6.00 107.00 10.00 10.00 -0.16 0.08  2.98 8.91 0.26 0.24 0.26 1.21
 7.34 28.35 84.69 12.09 293.00 6.00 107.00 10.00 10.00 -0.30 0.46  3.23 7.12 0.29 0.27 0.30 1.04
 9.95 28.43 84.73 13.14 293.00 6.00 107.00 10.00 10.00 0.03 -0.40  3.47 9.48 0.30 0.29 0.27 1.29
12.79 28.51 84.77 14.18 293.00 6.00 107.00 10.00 10.00 0.27 0.27   3.23 8.86 0.30 0.31 0.32 1.18
15.76 28.59 84.81 15.23 293.00 6.00 107.00 10.00 10.00 0.55 -0.67  3.28 7.09 0.33 0.31 0.31 1.19
11.09 27.97 84.40 6.86  293.00 6.00 107.00 10.00 10.00 -0.05 -0.24 3.35 10.00 0.16 0.17 0.32 1.44
 8.88 28.05 84.44 7.91  293.00 6.00 107.00 10.00 10.00 -0.17 0.06  3.63 9.61 0.18 0.20 0.23 1.15
 7.58 28.13 84.48 8.95  293.00 6.00 107.00 10.00 10.00 -0.30 -0.17 2.89 9.76 0.22 0.22 0.25 1.35
 6.81 28.22 84.52 10.00 293.00 6.00 107.00 10.00 10.00 -0.25 0.08  2.96 12.63 0.22 0.23 0.23 1.22
 7.51 28.30 84.56 11.05 293.00 6.00 107.00 10.00 10.00 0.05 0.25   3.54 8.32 0.24 0.23 0.24 1.21
 9.52 28.38 84.60 12.09 293.00 6.00 107.00 10.00 10.00 -0.07 -1.17 3.18 13.08 0.30 0.28 0.31 1.13
11.62 28.46 84.64 13.14 293.00 6.00 107.00 10.00 10.00 -0.28 -0.08 3.43 11.23 0.30 0.29 0.27 1.56
14.07 28.55 84.68 14.18 293.00 6.00 107.00 10.00 10.00 -0.49 0.25  3.20 9.59 0.28 0.25 0.28 1.20
16.66 28.63 84.72 15.23 293.00 6.00 107.00 10.00 10.00 -0.24 -0.63 3.56 8.73 0.36 0.30 0.25 1.31
13.29 28.00 84.31 6.86  293.00 6.00 107.00 10.00 10.00 0.11 -0.08  2.92 8.79 0.18 0.18 0.25 1.25
11.41 28.09 84.35 7.91  293.00 6.00 107.00 10.00 10.00 -0.10 0.05  3.47 8.84 0.18 0.19 0.26 1.32
10.64 28.17 84.39 8.95  293.00 6.00 107.00 10.00 10.00 -0.19 -0.23 3.28 11.69 0.21 0.21 0.28 1.21
10.19 28.25 84.43 10.00 293.00 6.00 107.00 10.00 10.00 -0.24 0.10  2.96 11.55 0.23 0.23 0.24 1.34
10.30 28.33 84.47 11.05 293.00 6.00 107.00 10.00 10.00 -0.16 0.17  3.17 10.49 0.24 0.24 0.32 1.53
11.65 28.42 84.51 12.09 293.00 6.00 107.00 10.00 10.00 0.34 -0.27  3.41 9.37 0.28 0.26 0.28 1.09
13.76 28.50 84.54 13.14 293.00 6.00 107.00 10.00 10.00 0.63 0.34   3.39 8.37 0.28 0.27 0.28 1.35
15.87 28.58 84.58 14.18 293.00 6.00 107.00 10.00 10.00 0.60 0.22   3.32 12.15 0.30 0.31 0.28 1.29
18.52 28.66 84.62 15.23 293.00 6.00 107.00 10.00 10.00 1.33 -0.03  2.94 13.45 0.36 0.29 0.26 0.98
