,lat,lon,depth,strike,dip
89,-31.042,-70.926,65.09,4.0,32.66
90,-30.789,-72.479,6.72,4.0,8.82
91,-30.8,-72.294,9.95,4.0,11.88
92,-30.812,-72.111,14.1,4.0,14.78
93,-30.823,-71.931,19.11,4.0,17.55
94,-30.833,-71.753,24.94,4.0,20.23
95,-30.843,-71.579,31.54,4.0,22.83
96,-30.853,-71.407,38.89,4.0,25.36
97,-30.862,-71.239,46.95,4.0,27.84
98,-30.871,-71.075,55.69,4.0,30.27
99,-30.879,-70.914,65.09,4.0,32.66
100,-30.627,-72.465,6.72,4.0,8.82
101,-30.638,-72.281,9.95,4.0,11.88
102,-30.65,-72.098,14.1,4.0,14.78
103,-30.661,-71.918,19.11,4.0,17.55
104,-30.671,-71.741,24.94,4.0,20.23
105,-30.681,-71.566,31.54,4.0,22.83
106,-30.691,-71.395,38.89,4.0,25.36
107,-30.7,-71.227,46.95,4.0,27.84
108,-30.709,-71.063,55.69,4.0,30.27
109,-30.717,-70.903,65.09,4.0,32.66
110,-30.465,-72.451,6.72,4.0,8.82
111,-30.476,-72.267,9.95,4.0,11.88
112,-30.488,-72.085,14.1,4.0,14.78
113,-30.498,-71.905,19.11,4.0,17.55
114,-30.509,-71.728,24.94,4.0,20.23
115,-30.519,-71.554,31.54,4.0,22.83
116,-30.529,-71.383,38.89,4.0,25.36
117,-30.538,-71.215,46.95,4.0,27.84
118,-30.547,-71.052,55.69,4.0,30.27
119,-30.555,-70.892,65.09,4.0,32.66
120,-30.303,-72.437,6.72,4.0,8.82
121,-30.314,-72.253,9.95,4.0,11.88
122,-30.325,-72.072,14.1,4.0,14.78
123,-30.336,-71.892,19.11,4.0,17.55
124,-30.347,-71.715,24.94,4.0,20.23
125,-30.357,-71.542,31.54,4.0,22.83
126,-30.366,-71.371,38.89,4.0,25.36
127,-30.376,-71.204,46.95,4.0,27.84
128,-30.385,-71.04,55.69,4.0,30.27
129,-30.393,-70.881,65.09,4.0,32.66
130,-30.141,-72.423,6.72,4.0,8.82
131,-30.152,-72.24,9.95,4.0,11.88
132,-30.163,-72.059,14.1,4.0,14.78
133,-30.174,-71.879,19.11,4.0,17.55
134,-30.185,-71.703,24.94,4.0,20.23
135,-30.195,-71.529,31.54,4.0,22.83
136,-30.204,-71.359,38.89,4.0,25.36
137,-30.214,-71.192,46.95,4.0,27.84
138,-30.222,-71.029,55.69,4.0,30.27
139,-30.231,-70.869,65.09,4.0,32.66
140,-29.978,-72.41,6.72,4.0,8.82
141,-29.99,-72.227,9.95,4.0,11.88
142,-30.001,-72.045,14.1,4.0,14.78
143,-30.012,-71.867,19.11,4.0,17.55
144,-30.023,-71.69,24.94,4.0,20.23
145,-30.033,-71.517,31.54,4.0,22.83
146,-30.042,-71.347,38.89,4.0,25.36
147,-30.051,-71.18,46.95,4.0,27.84
148,-30.06,-71.017,55.69,4.0,30.27
149,-30.069,-70.858,65.09,4.0,32.66
150,-29.816,-72.396,6.72,4.0,8.82
151,-29.828,-72.213,9.95,4.0,11.88
152,-29.839,-72.032,14.1,4.0,14.78
153,-29.85,-71.854,19.11,4.0,17.55
154,-29.86,-71.678,24.94,4.0,20.23
155,-29.87,-71.505,31.54,4.0,22.83
156,-29.88,-71.335,38.89,4.0,25.36
157,-29.889,-71.169,46.95,4.0,27.84
158,-29.898,-71.006,55.69,4.0,30.27
159,-29.906,-70.847,65.09,4.0,32.66
160,-29.654,-72.382,6.72,4.0,8.82
161,-29.666,-72.2,9.95,4.0,11.88
162,-29.677,-72.019,14.1,4.0,14.78
163,-29.688,-71.841,19.11,4.0,17.55
164,-29.698,-71.665,24.94,4.0,20.23
165,-29.708,-71.493,31.54,4.0,22.83
166,-29.718,-71.323,38.89,4.0,25.36
167,-29.727,-71.157,46.95,4.0,27.84
168,-29.736,-70.994,55.69,4.0,30.27
169,-29.744,-70.836,65.09,4.0,32.66
