time  time-dur lat  lon    depth  strike   dip  rake    Mo(Nm)  slip(m) x         y       xinc   yinc  segnum subnum parnum
31.406 16.00 27.710 85.604 8.955  293.000 6.000 93.418  7.157e+18 2.570 -100.000  10.000  10.00  10.00  1  39   609
31.250 16.00 27.792 85.644 10.000 293.000 6.000 91.218  1.409e+19 5.057 -100.000   0.000  10.00  10.00  1  40   625
31.406 16.00 27.874 85.684 11.045 293.000 6.000 122.561 1.447e+19 5.197 -100.000 -10.000  10.00  10.00  1  41   641
31.869 16.00 27.957 85.724 12.091 293.000 6.000 117.515 8.391e+18 3.013 -100.000 -20.000  10.00  10.00  1  42   657
32.626 16.00 28.039 85.765 13.136 293.000 6.000 112.799 1.008e+19 3.617 -100.000 -30.000  10.00  10.00  1  43   673
33.657 16.00 28.121 85.805 14.181 293.000 6.000 62.000  2.502E+17 0.090 -100.000 -40.000  10.00  10.00  1  44   689
34.939 16.00 28.203 85.846 15.226 293.000 6.000 97.697  9.806E+17 0.352 -100.000 -50.000  10.00  10.00  1  45   705
29.646 16.00 27.582 85.430 6.864  293.000 6.000 125.557 8.228E+17 0.295  -90.000  30.000  10.00  10.00  1  46   721
28.811 16.00 27.664 85.470 7.909  293.000 6.000 74.414  2.748E+18 0.987  -90.000  20.000  10.00  10.00  1  47   737
28.298 16.00 27.746 85.510 8.955  293.000 6.000 87.732  9.740E+18 3.497  -90.000  10.000  10.00  10.00  1  48   753
28.125 16.00 27.828 85.551 10.000 293.000 6.000 102.254 1.558E+19 5.595  -90.000   0.000  10.00  10.00  1  49   769
28.298 16.00 27.910 85.591 11.045 293.000 6.000 107.704 1.245E+19 4.469  -90.000 -10.000  10.00  10.00  1  50   785
28.811 16.00 27.992 85.631 12.091 293.000 6.000 106.936 8.643E+18 3.103  -90.000 -20.000  10.00  10.00  1  51   801
29.646 16.00 28.074 85.671 13.136 293.000 6.000 104.715 9.682E+18 3.476  -90.000 -30.000  10.00  10.00  1  52   817
30.778 16.00 28.156 85.712 14.181 293.000 6.000 131.443 5.779E+18 2.075  -90.000 -40.000  10.00  10.00  1  53   833
32.174 16.00 28.238 85.752 15.226 293.000 6.000 88.446  2.907e+18 1.044  -90.000 -50.000  10.00  10.00  1  54   849
26.700 16.00 27.617 85.337 6.864  293.000 6.000 112.944 1.252e+18 0.449  -80.000  30.000  10.00  10.00  1  55   865
25.769 16.00 27.700 85.377 7.909  293.000 6.000 79.499  3.930e+18 1.411  -80.000  20.000  10.00  10.00  1  56   881 
25.195 16.00 27.782 85.417 8.955  293.000 6.000 91.571  1.145e+19 4.110  -80.000  10.000  10.00  10.00  1  57   897 
25.000 16.00 27.864 85.457 10.000 293.000 6.000 106.227 1.688e+19 6.062  -80.000   0.000  10.00  10.00  1  58   913 
25.195 16.00 27.946 85.497 11.045 293.000 6.000 100.110 1.092E+19 3.921  -80.000 -10.000  10.00  10.00  1  59   929 
25.769 16.00 28.028 85.537 12.091 293.000 6.000 121.522 7.219E+18 2.592  -80.000 -20.000  10.00  10.00  1  60   945 
26.700 16.00 28.110 85.578 13.136 293.000 6.000 107.313 3.415E+18 1.226  -80.000 -30.000  10.00  10.00  1  61   961 
27.951 16.00 28.192 85.618 14.181 293.000 6.000 118.755 1.691E+18 0.607  -80.000 -40.000  10.00  10.00  1  62   977 
29.481 16.00 28.274 85.658 15.226 293.000 6.000 118.711 1.438E+18 0.516  -80.000 -50.000  10.00  10.00  1  63   993 
23.799 16.00 27.653 85.244 6.864  293.000 6.000 109.291 1.133e+18 0.407  -70.000  30.000  10.00  10.00  1  64   1009 
22.750 16.00 27.735 85.284 7.909  293.000 6.000 105.301 3.754e+18 1.348  -70.000  20.000  10.00  10.00  1  65   1025 
22.097 16.00 27.817 85.324 8.955  293.000 6.000 96.549  1.182e+19 4.244  -70.000  10.000  10.00  10.00  1  66   1041 
21.875 16.00 27.899 85.364 10.000 293.000 6.000 103.605 1.550E+19 5.564  -70.000   0.000  10.00  10.00  1  67   1057 
22.097 16.00 27.982 85.404 11.045 293.000 6.000 103.954 1.435E+19 5.152  -70.000 -10.000  10.00  10.00  1  68   1073 
22.750 16.00 28.064 85.444 12.091 293.000 6.000 122.304 7.208E+18 2.588  -70.000 -20.000  10.00  10.00  1  69   1089 
23.799 16.00 28.146 85.484 13.136 293.000 6.000 89.219  2.560E+18 0.919  -70.000 -30.000  10.00  10.00  1  70   1105 
25.195 16.00 28.228 85.524 14.181 293.000 6.000 76.726  1.408E+18 0.506  -70.000 -40.000  10.00  10.00  1  71   1121 
26.882 16.00 28.310 85.565 15.226 293.000 6.000 91.882  5.885E+17 0.211  -70.000 -50.000  10.00  10.00  1  72   1137 
20.963 16.00 27.688 85.151 6.864  293.000 6.000 141.213 9.285E+17 0.333  -60.000  30.000  10.00  10.00  1  73   1153 
19.764 16.00 27.771 85.190 7.909  293.000 6.000 117.106 5.161E+18 1.853  -60.000  20.000  10.00  10.00  1  74   1169 
19.009 16.00 27.853 85.230 8.955  293.000 6.000 98.955  1.169e+19 4.199  -60.000  10.000  10.00  10.00  1  75   1185 
18.750 16.00 27.935 85.270 10.000 293.000 6.000 102.489 1.343e+19 4.820  -60.000   0.000  10.00  10.00  1  76   1201 
19.009 16.00 28.017 85.310 11.045 293.000 6.000 108.303 1.420E+19 5.099  -60.000 -10.000  10.00  10.00  1  77   1217 
19.764 16.00 28.099 85.350 12.091 293.000 6.000 115.983 5.947E+18 2.135  -60.000 -20.000  10.00  10.00  1  78   1233 
20.963 16.00 28.181 85.390 13.136 293.000 6.000 120.601 1.006E+18 0.361  -60.000 -30.000  10.00  10.00  1  79   1249 
22.535 16.00 28.264 85.431 14.181 293.000 6.000 152.000 3.972E+17 0.143  -60.000 -40.000  10.00  10.00  1  80   1265 
24.407 16.00 28.346 85.471 15.226 293.000 6.000 0.0000  0.000e+00 0.000  -60.000 -50.000  10.00  10.00  1  81   1281 
18.222 16.00 27.724 85.057 6.864  293.000 6.000 147.553 1.103e+18 0.396  -50.000  30.000  10.00  10.00  1  82   1297 
16.829 16.00 27.806 85.097 7.909  293.000 6.000 119.121 6.006e+18 2.156  -50.000  20.000  10.00  10.00  1  83   1313 
15.934 16.00 27.888 85.137 8.955  293.000 6.000 98.785  1.089e+19 3.910  -50.000  10.000  10.00  10.00  1  84   1329 
15.625 16.00 27.970 85.177 10.000 293.000 6.000 97.430  1.484e+19 5.329  -50.000   0.000  10.00  10.00  1  85   1345 
15.934 16.00 28.053 85.217 11.045 293.000 6.000 109.682 1.285e+19 4.614  -50.000 -10.000  10.00  10.00  1  86   1361 
16.829 16.00 28.135 85.257 12.091 293.000 6.000 95.207  5.543e+18 1.990  -50.000 -20.000  10.00  10.00  1  87   1377 
18.222 16.00 28.217 85.297 13.136 293.000 6.000 62.000  8.460e+17 0.304  -50.000 -30.000  10.00  10.00  1  88   1393 
20.010 16.00 28.299 85.337 14.181 293.000 6.000 0.0000  0.000e+00 0.000  -50.000 -40.000  10.00  10.00  1  89   1409 
22.097 16.00 28.381 85.377 15.226 293.000 6.000 0.0000  0.000e+00 0.000  -50.000 -50.000  10.00  10.00  1  90   1425 
15.625 16.00 27.759 84.964 6.864  293.000 6.000 148.304 8.564e+17 0.307  -40.000  30.000  10.00  10.00  1  91   1441 
13.975 16.00 27.841 85.003 7.909  293.000 6.000 119.844 6.102e+18 2.191  -40.000  20.000  10.00  10.00  1  92   1457 
12.885 16.00 27.924 85.043 8.955  293.000 6.000 94.577  1.135e+19 4.075  -40.000  10.000  10.00  10.00  1  93   1473 
12.500 16.00 28.006 85.083 10.000 293.000 6.000 100.830 1.406e+19 5.049  -40.000   0.000  10.00  10.00  1  94   1489 
12.885 16.00 28.088 85.123 11.045 293.000 6.000 97.710  6.364E+18 2.285  -40.000 -10.000  10.00  10.00  1  95   1505 
13.975 16.00 28.170 85.163 12.091 293.000 6.000 62.000  3.574E+18 1.283  -40.000 -20.000  10.00  10.00  1  96   1521 
15.625 16.00 28.253 85.203 13.136 293.000 6.000 62.000  3.557E+18 1.277  -40.000 -30.000  10.00  10.00  1  97   1537 
17.678 16.00 28.335 85.243 14.181 293.000 6.000 62.000  8.741E+17 0.314  -40.000 -40.000  10.00  10.00  1  98   1553 
20.010 16.00 28.417 85.283 15.226 293.000 6.000 62.000  8.008E+17 0.288  -40.000 -50.000  10.00  10.00  1  99   1569 
13.258 16.00 27.794 84.870 6.864  293.000 6.000 148.454 6.700E+17 0.241  -30.000  30.000  10.00  10.00  1  100   1585 
11.267 16.00 27.877 84.910 7.909  293.000 6.000 129.983 2.563E+18 0.920  -30.000  20.000  10.00  10.00  1  101   1601 
9.882  16.00 27.959 84.950 8.955  293.000 6.000 93.422  7.553e+18 2.712  -30.000  10.000  10.00  10.00  1  102   1617    
9.375  16.00 28.041 84.989 10.000 293.000 6.000 111.957 8.836e+18 3.172  -30.000   0.000  10.00  10.00  1  103   1633    
9.882  16.00 28.124 85.029 11.045 293.000 6.000 75.300  2.335e+18 0.838  -30.000 -10.000  10.00  10.00  1  104   1649    
11.267 16.00 28.206 85.069 12.091 293.000 6.000 62.000  6.730E+17 0.242  -30.000 -20.000  10.00  10.00  1  105   1665 
13.258 16.00 28.288 85.109 13.136 293.000 6.000 62.000  1.272E+18 0.457  -30.000 -30.000  10.00  10.00  1  106   1681 
15.625 16.00 28.370 85.149 14.181 293.000 6.000 62.000  1.278E+18 0.459  -30.000 -40.000  10.00  10.00  1  107   1697 
18.222 16.00 28.452 85.189 15.226 293.000 6.000 62.000  1.408E+18 0.506  -30.000 -50.000  10.00  10.00  1  108   1713 
11.267 16.00 27.830 84.777 6.864  293.000 6.000 152.000 3.871E+16 0.014  -20.000  30.000  10.00  10.00  1  109   1729 
8.839  16.00 27.912 84.816 7.909  293.000 6.000 152.000 9.450e+17 0.339  -20.000  20.000  10.00  10.00  1  110   1745 
6.988  16.00 27.994 84.856 8.955  293.000 6.000 102.806 4.536e+18 1.628  -20.000  10.000  10.00  10.00  1  111   1761 
6.250  16.00 28.077 84.896 10.000 293.000 6.000 114.337 3.943e+18 1.416  -20.000   0.000  10.00  10.00  1  112   1777 
6.988  16.00 28.159 84.935 11.045 293.000 6.000 73.558  2.460e+18 0.883  -20.000 -10.000  10.00  10.00  1  113   1793 
8.839  16.00 28.241 84.975 12.091 293.000 6.000 62.000  4.190e+17 0.150  -20.000 -20.000  10.00  10.00  1  114   1809 
11.267 16.00 28.323 85.015 13.136 293.000 6.000 62.000  5.473e+17 0.196  -20.000 -30.000  10.00  10.00  1  115   1825 
13.975 16.00 28.406 85.055 14.181 293.000 6.000 152.000 5.910e+17 0.212  -20.000 -40.000  10.00  10.00  1  116   1841    
16.829 16.00 28.488 85.095 15.226 293.000 6.000 62.000  1.839e+18 0.660  -20.000 -50.000  10.00  10.00  1  117   1857    
9.882  16.00 27.865 84.683 6.864  293.000 6.000 0.000   0.000e+00 0.000  -10.000  30.000  10.00  10.00  1  118   1873       
6.988  16.00 27.947 84.723 7.909  293.000 6.000 0.000   0.000e+00 0.000  -10.000  20.000  10.00  10.00  1  119   1889       
4.419  16.00 28.030 84.762 8.955  293.000 6.000 148.344 3.128e+18 1.123  -10.000  10.000  10.00  10.00  1  120   1905       
3.125  16.00 28.112 84.802 10.000 293.000 6.000 90.037  4.615e+18 1.657  -10.000   0.000  10.00  10.00  1  121   1921             
4.419  16.00 28.194 84.842 11.045 293.000 6.000 118.116 4.783e+18 1.717  -10.000 -10.000  10.00  10.00  1  122   1937             
6.988  16.00 28.276 84.881 12.091 293.000 6.000 0.000   0.000e+00 0.000  -10.000 -20.000  10.00  10.00  1  123   1953               
9.882  16.00 28.359 84.921 13.136 293.000 6.000 152.000 1.381e+16 0.005  -10.000 -30.000  10.00  10.00  1  124   1969 
12.885 16.00 28.441 84.961 14.181 293.000 6.000 152.000 5.817e+16 0.021  -10.000 -40.000  10.00  10.00  1  125   1985 
15.934 16.00 28.523 85.001 15.226 293.000 6.000  62.000 7.741e+17 0.278  -10.000 -50.000  10.00  10.00  1  126   2001 
9.375  16.00 27.900 84.589 6.864  293.000 6.000 152.000 9.082e+16 0.033    0.000  30.000  10.00  10.00  1  127   2017     
6.250  16.00 27.982 84.629 7.909  293.000 6.000 0.000   0.000e+00 0.000    0.000  20.000  10.00  10.00  1  128   2033     
3.125  16.00 28.065 84.668 8.955  293.000 6.000 152.000 1.289e+18 0.463    0.000  10.000  10.00  10.00  1  129   2049     
0.000  16.00 28.147 84.708 10.000 293.000 6.000 117.262 9.979e+17 0.358    0.000   0.000  10.00  10.00  1  130   2065     
3.125  16.00 28.229 84.748 11.045 293.000 6.000 145.950 1.241e+18 0.446    0.000 -10.000  10.00  10.00  1  131   2081     
6.250  16.00 28.312 84.787 12.091 293.000 6.000 0.000   0.000e+00 0.000    0.000 -20.000  10.00  10.00  1  132   2097     
9.375  16.00 28.394 84.827 13.136 293.000 6.000 62.000  1.685e+18 0.605    0.000 -30.000  10.00  10.00  1  133   2113     
12.500 16.00 28.476 84.867 14.181 293.000 6.000 152.000 2.729e+17 0.098    0.000 -40.000  10.00  10.00  1  134   2129     
15.625 16.00 28.559 84.907 15.226 293.000 6.000 100.735 6.680e+17 0.240    0.000 -50.000  10.00  10.00  1  135   2145     
9.882  16.00 27.935 84.496 6.864  293.000 6.000 151.547 2.296e+17 0.082   10.000  30.000  10.00  10.00  1  136   2161     
6.988  16.00 28.017 84.535 7.909  293.000 6.000 0.000   0.000e+00 0.000   10.000  20.000  10.00  10.00  1  137   2177     
4.419  16.00 28.100 84.575 8.955  293.000 6.000 152.000 2.555e+17 0.092   10.000  10.000  10.00  10.00  1  138   2193     
3.125  16.00 28.182 84.614 10.000 293.000 6.000 152.000 4.120E+17 0.148   10.000   0.000  10.00  10.00  1  139   2209 
4.419  16.00 28.264 84.654 11.045 293.000 6.000 130.995 2.004E+17 0.072   10.000 -10.000  10.00  10.00  1  140   2225 
6.988  16.00 28.347 84.693 12.091 293.000 6.000  62.000 5.598E+16 0.020   10.000 -20.000  10.00  10.00  1  141   2241 
9.882  16.00 28.429 84.733 13.136 293.000 6.000 152.000 6.262E+16 0.022   10.000 -30.000  10.00  10.00  1  142   2257 
12.885 16.00 28.511 84.773 14.181 293.000 6.000  63.068 5.372E+17 0.193   10.000 -40.000  10.00  10.00  1  143   2273 
15.934 16.00 28.594 84.813 15.226 293.000 6.000  71.198 6.725E+17 0.241   10.000 -50.000  10.00  10.00  1  144   2289 
11.267 16.00 27.970 84.402 6.864  293.000 6.000 152.000 2.478E+17 0.089   20.000  30.000  10.00  10.00  1  145   2305 
8.839  16.00 28.052 84.441 7.909  293.000 6.000 82.462  7.740e+16 0.028   20.000  20.000  10.00  10.00  1  146   2321     
6.988  16.00 28.135 84.481 8.955  293.000 6.000 152.000 1.032e+17 0.037   20.000  10.000  10.00  10.00  1  147   2337     
6.250  16.00 28.217 84.520 10.000 293.000 6.000 152.000 2.388e+17 0.086   20.000   0.000  10.00  10.00  1  148   2353     
6.988  16.00 28.300 84.560 11.045 293.000 6.000 62.000  2.671e+17 0.096   20.000 -10.000  10.00  10.00  1  149   2369     
8.839  16.00 28.382 84.599 12.091 293.000 6.000 152.000 1.546e+18 0.555   20.000 -20.000  10.00  10.00  1  150   2385     
11.267 16.00 28.464 84.639 13.136 293.000 6.000 122.269 3.232e+17 0.116   20.000 -30.000  10.00  10.00  1  151   2401     
13.975 16.00 28.547 84.679 14.181 293.000 6.000  62.000 6.204e+17 0.223   20.000 -40.000  10.00  10.00  1  152   2417     
16.829 16.00 28.629 84.718 15.226 293.000 6.000 104.651 2.105e+17 0.076   20.000 -50.000  10.00  10.00  1  153   2433     
13.258 16.00 28.005 84.308 6.864  293.000 6.000 125.148 1.232e+17 0.044   30.000  30.000  10.00  10.00  1  154   2449 
11.267 16.00 28.087 84.347 7.909  293.000 6.000 152.000 8.444e+16 0.030   30.000  20.000  10.00  10.00  1  155   2465 
9.882  16.00 28.170 84.387 8.955  293.000 6.000 152.000 7.874e+16 0.028   30.000  10.000  10.00  10.00  1  156   2481 
9.375  16.00 28.252 84.426 10.000 293.000 6.000 152.000 8.407e+16 0.030   30.000   0.000  10.00  10.00  1  157   2497 
9.882  16.00 28.335 84.466 11.045 293.000 6.000 62.000  8.826e+16 0.032   30.000 -10.000  10.00  10.00  1  158   2513      
11.267 16.00 28.417 84.505 12.091 293.000 6.000 146.595 6.103e+17 0.219   30.000 -20.000  10.00  10.00  1  159   2529 
13.258 16.00 28.499 84.545 13.136 293.000 6.000 62.000  1.879e+18 0.675   30.000 -30.000  10.00  10.00  1  160   2545 
15.625 16.00 28.582 84.584 14.181 293.000 6.000 92.747  2.609e+18 0.937   30.000 -40.000  10.00  10.00  1  161   2561 
18.222 16.00 28.664 84.624 15.226 293.000 6.000 101.076 2.752e+18 0.988   30.000 -50.000  10.00  10.00  1  162   2577
